Time,R1,R2,R3,R4,Ave,SD
105.5,931.549,984.072,915.098,959.288,947.50175,30.44553673
106,932.514,983.96,915.378,959.637,947.87225,30.1799446
106.5,933.296,983.691,915.277,959.305,947.89225,29.93663536
107,933.994,983.585,915.168,959.002,947.93725,29.7849444
107.5,934.824,983.425,915.146,958.758,948.03825,29.57280073
108,935.535,983.324,915.048,958.832,948.18475,29.47423281
108.5,936.038,983.395,915.005,958.949,948.34675,29.46164259
109,936.841,983.226,914.877,958.822,948.4415,29.31929672
109.5,937.561,983.034,914.664,958.796,948.51375,29.22978294
110,938.231,983.171,914.43,958.413,948.56125,29.24920549
110.5,938.977,982.956,914.37,958.578,948.72025,29.12119737
111,939.767,982.945,914.539,958.512,948.94075,28.95707131
111.5,940.482,982.965,915.072,958.202,949.18025,28.64631202
112,940.747,982.788,915.435,958.024,949.2485,28.38741355
112.5,941.261,982.596,915.734,957.905,949.374,28.13034906
113,941.803,982.481,915.889,957.69,949.46575,27.95091471
113.5,942.224,982.591,915.892,957.396,949.52575,27.92726437
114,942.677,982.613,915.898,957.149,949.58425,27.87231189
114.5,943.271,982.866,915.674,957.165,949.744,28.01667809
115,943.769,982.974,915.452,957.116,949.82775,28.10808375
115.5,944.213,982.894,915.198,957.107,949.853,28.14904866
116,944.88,982.924,915.003,957.081,949.972,28.1965223
116.5,945.508,982.737,914.888,956.912,950.01125,28.12185991
117,945.847,983.034,914.671,956.688,950.06,28.29220004
117.5,946.19,982.937,914.457,956.424,950.002,28.30744706
118,946.457,982.679,914.284,956.25,949.9175,28.25560606
118.5,946.757,982.459,914.152,956.474,949.9605,28.23171543
119,947.053,982.371,914.11,956.855,950.09725,28.23479971
119.5,947.506,982.266,914.293,957.379,950.361,28.1438744
120,947.972,982.156,914.562,957.562,950.563,27.9874313
120.5,948.313,981.783,914.751,957.428,950.56875,27.74513974
121,948.578,981.648,914.844,957.187,950.56425,27.62813651
121.5,948.76,981.518,914.846,956.877,950.50025,27.55006212
122,949.065,981.296,914.742,956.708,950.45275,27.49313695
122.5,949.363,980.997,915.029,956.441,950.4575,27.23257776
123,949.647,980.791,915.215,956.168,950.45525,27.05193603
123.5,950.021,980.545,915.329,955.976,950.46775,26.89431862
124,950.23,980.352,915.434,955.862,950.4695,26.76805611
124.5,950.567,980.636,915.222,955.679,950.526,26.95390884
125,950.941,980.738,915.078,955.349,950.5265,27.03552725
125.5,951.083,980.722,915.208,955.339,950.588,26.97294559
126,951.165,980.765,914.99,955.057,950.49425,27.06866988
126.5,951.345,980.5 J,914.906,954.981,940.4106667,22.1623812
127,951.641,980.398,914.821,954.872,950.433,27.00172682
127.5,951.715,980.369,914.751,954.649,950.371,27.0109362
128,952.133,980.2 J,914.732,954.521,940.462,22.31480027
128.5,952.289,980.007,914.669,954.303,950.317,26.90757628
129,952.462,979.651,914.542,954.314,950.24225,26.83833617
129.5,952.748,979.498,914.435,954.647,950.332,26.85582771
130,953.228,979.305,914.308,955.133,950.4935,26.88553138
130.5,953.327,979.068,914.218,955.788,950.60025,26.88511869
131,953.527,979.171,917.331,956.454,951.62075,25.5721028
131.5,953.848,979.16,921.159,956.439,952.6515,23.87645212
132,954.132,979.262,924.15,956.127,953.41775,22.60071265
132.5,954.194,979.197,926.492,955.882,953.94125,21.56497644
133,954.311,979.082,928.429,955.828,954.4125,20.70217738
133.5,955.199,978.818,930.09,955.511,954.9045,19.90033052
134,955.34,978.668,931.607,955.364,955.24475,19.21297442
134.5,955.541,978.389,932.795,955.694,955.60475,18.61378318
135,955.948,978.193,934.239,955.792,956.043,17.94537027
135.5,956.34,978.112,935.449,955.697,956.3995,17.42462963
136,956.534,977.884,936.752,955.734,956.726,16.80914997
