Time,R1,R2,R3,R4,Ave,SD
152.5,528.943,529.467,544.113,541.913,536.109,8.025338041
153,528.964,529.451,544.225,541.882,536.1305,8.053469749
153.5,528.865,529.365,544.311,542.221,536.1905,8.217052411
154,528.779,529.326,544.308,542.466,536.21975,8.313121691
154.5,528.718,529.238,544.309,542.479,536.186,8.359240516
155,528.642,529.13,544.28,542.452,536.126,8.395639027
155.5,528.622,529.073,544.232,542.403,536.0825,8.389581257
156,528.538,529.039,544.242,542.327,536.0365,8.408193008
156.5,528.559,529.003,544.216,542.322,536.025,8.402268146
157,528.514,528.902,544.332,542.178,535.9815,8.446110328
157.5,528.527,528.976,544.32,542.116,535.98475,8.402563711
158,528.492,528.885,544.388,542.028,535.94825,8.43954787
158.5,528.473,528.812,544.417,541.93,535.908,8.451824379
159,528.947,528.745,544.458,542.242,536.098,8.423018976
159.5,528.89,528.734,544.549,542.437,536.1525,8.520058705
160,528.832,528.694,544.585,542.541,536.163,8.585617625
160.5,528.801,528.646,544.516,542.732,536.17375,8.633814158
161,528.822,528.622,544.344,542.96,536.187,8.63872344
161.5,528.822,528.549,544.364,543.069,536.201,8.694955204
162,528.738,528.477,544.275,543.24,536.1825,8.757704665
162.5,528.748,528.395,544.279,543.463,536.22125,8.840624653
163,528.627,528.376,544.234,543.729,536.2415,8.940346992
163.5,528.548,528.31,544.173,544.047,536.2695,9.054097065
164,528.619,528.272,544.191,544.318,536.35,9.128576925
164.5,528.991,528.135,544.115,544.481,536.4305,9.092553198
165,529.343,528.154,544.08,544.772,536.58725,9.068816511
165.5,529.445,528.434,544.111,544.789,536.69475,8.968770127
166,529.359,528.553,544.208,544.739,536.71475,8.967693958
166.5,529.33,528.657,544.163,544.734,536.721,8.930220415
167,529.317,528.833,544.154,544.655,536.73975,8.855058794
167.5,529.244,528.792,544.314,544.592,536.7355,8.914034234
168,529.168,528.778,544.342,544.483,536.69275,8.915607116
168.5,529.286,528.698,544.651,544.4,536.75875,8.972067669
169,529.326,528.592,544.766,544.297,536.74525,8.997816675
169.5,529.337,528.558,544.764,544.203,536.7155,8.978271493
170,529.455,528.484,544.841,544.105,536.72125,8.964760282
170.5,529.529,528.426,544.994,544.101,536.7625,9.007995134
171,529.582,528.402,544.955,544.089,536.757,8.986138919
171.5,529.642,528.4,545.029,544.057,536.782,8.984730714
172,529.588,528.291,545.497,544.15,536.8815,9.202350515
172.5,529.65,528.196,545.449,543.961,536.814,9.151241337
173,529.557,528.227,545.474,543.908,536.7915,9.160040557
173.5,529.565,528.206,545.396,543.817,536.746,9.116284002
174,529.472,528.1,545.315,543.713,536.65,9.121300675
174.5,529.452,528.041,545.299,543.702,536.6235,9.137088905
175,529.482,528.019,545.194,543.801,536.624,9.128862981
175.5,529.482,527.976,545.181,543.92,536.63975,9.169677216
176,529.408,527.939,545.091,544.041,536.61975,9.205103417
176.5,529.429,527.928,545.088,543.888,536.58325,9.161273397
177,529.472,527.875,545.066,543.897,536.5775,9.162447799
177.5,529.397,527.836,545.059,543.787,536.51975,9.162837893
178,529.359,527.918,544.981,543.731,536.49725,9.107859184
178.5,529.384,527.971,544.957,543.691,536.50075,9.066653641
179,529.325,527.951,544.884,543.739,536.47475,9.078510391
179.5,529.398,527.86,544.888,544.076,536.5555,9.180232441
180,529.495,527.794,544.81,543.968,536.51675,9.12305619
180.5,529.456,527.706,544.781,543.953,536.474,9.148257357
181,529.393,527.601,544.695,543.934,536.40575,9.166760583
181.5,529.417,527.527,544.704,543.881,536.38225,9.172657462
182,529.973,527.454,544.645,543.808,536.47,9.021753968
182.5,530.067,527.46,544.584,543.7,536.45275,8.949622241
183,530.07,527.382,544.517,543.611,536.395,8.930795672
183.5,530.042,527.38,544.547,543.993,536.4905,9.051317786
184,530.057,527.334,544.443,544.093,536.48175,9.060378409
184.5,530.024,527.25,544.382,545.38,536.759,9.455387812
185,530.002,527.259,544.305,545.288,536.7135,9.408944769
185.5,529.941,527.318,544.232,545.204,536.67375,9.358637521
186,529.961,527.263,544.196,545.223,536.66075,9.368323805
186.5,529.882,527.321,544.248,545.148,536.64975,9.359160802
187,529.936,527.285,544.172,545.021,536.6035,9.299220344
187.5,529.941,527.259,544.078,544.955,536.55825,9.261319178
188,529.93,527.191,544.054,544.902,536.51925,9.264221837
188.5,529.884,527.111,543.949,544.826,536.4425,9.250611313
189,529.895,527.009,543.907,544.792,536.40075,9.260788605
189.5,530.104,526.962,543.86,544.697,536.40575,9.187076734
190,530.141,526.91,543.777,544.571,536.34975,9.13619999
190.5,530.021,526.89,543.697,544.532,536.285,9.137003046
191,529.991,526.779,543.691,544.407,536.217,9.14286053
191.5,530.01,526.847,543.62,546.236,536.67825,9.672254352
192,529.98,526.893,543.657,546.175,536.67625,9.652441259
192.5,529.884,526.85,543.603,546.078,536.60375,9.644369562
193,529.909,526.811,543.717,546.078,536.62875,9.679443316
193.5,529.865,526.767,543.691,546.053,536.594,9.690019952
