Time,R1,R2,R3,R4,Ave,SD
92.5,740.902,738.475,742.819,744.085,741.57025,2.443390728
93,741.079,738.31,742.704,743.921,741.5035,2.426530376
93.5,741.15,738.321,742.619,743.918,741.502,2.403290106
94,741.659,738.106,742.414,743.884,741.51575,2.453730272
94.5,741.955,738.071,742.108,744.024,741.5395,2.496602024
95,741.906,738.004,741.934,743.914,741.4395,2.475746554
95.5,741.699,738.056,741.713,744.129,741.39925,2.504472316
96,741.725,738.159,741.83,744.123,741.45925,2.462741883
96.5,741.95,738.063,741.682,744.127,741.4555,2.512754199
97,741.798,737.822,741.668,744.36,741.412,2.6952635
97.5,741.698,737.853,741.643,744.235,741.35725,2.630524457
98,742.168,737.692,741.828,744.267,741.48875,2.751390845
98.5,742.45,737.738,741.837,744.02,741.51125,2.678221223
99,742.531,737.65,741.863,743.799,741.46075,2.664361634
99.5,742.952,737.573,741.955,743.855,741.58375,2.784159164
100,743.123,737.484,741.682,743.713,741.5005,2.810271458
100.5,743.064,737.311,741.671,743.613,741.41475,2.855331665
101,743.04,737.33,741.608,743.442,741.355,2.796392199
101.5,742.951,737.157,741.475,743.192,741.19375,2.79615109
102,742.819,737.021,741.351,743.044,741.05875,2.794550217
102.5,742.708,736.934,741.507,743.037,741.0465,2.819420094
103,742.541,737.356,741.47,743.347,741.1785,2.661783675
103.5,742.709,737.736,741.528,743.535,741.377,2.563257693
104,742.796,738.1,741.604,743.673,741.54325,2.447098878
104.5,742.569,738.573,741.711,743.579,741.608,2.162575317
105,742.42,738.935,741.876,743.399,741.6575,1.921282297
105.5,742.168,739.548,741.777,743.625,741.7795,1.686851209
106,742.003,739.564,741.569,743.823,741.73975,1.748549375
106.5,741.846,739.716,741.359,743.795,741.679,1.679396122
107,741.599,739.552,741.33,743.789,741.5675,1.73730644
107.5,741.363,739.701,741.151,743.952,741.54175,1.768455329
108,741.521,739.613,740.979,744.062,741.54375,1.860899312
108.5,741.459,739.655,740.907,744.666,741.67175,2.134082063
109,741.347,739.816,740.816,744.803,741.6955,2.166721717
109.5,741.104,740.246,741.048,745.373,741.94275,2.32017634
110,740.924,740.578,741.37,745.354,742.0565,2.222109133
110.5,740.793,740.659,741.699,745.249,742.1,2.149552822
111,740.536,740.955,741.737,745.049,742.06925,2.047902077
111.5,740.478,741.105,741.993,744.933,742.12725,1.971063736
112,740.645,741.13,741.951,744.827,742.13825,1.871790831
112.5,740.426,740.946,742.006,744.823,742.05025,1.961942638
113,740.177,741.05,742.148,744.503,741.9695,1.871632175
113.5,740.039,741.035,742.18,744.497,741.93775,1.917346669
114,740.082,741.009,742.077,744.299,741.86675,1.814856537
