Time,R1,R2,R3,R4,Ave,SD
103,861.642,848.245,833.333,844.859,847.01975,11.65200124
103.5,861.476,848.007,833.075,844.666,846.806,11.68719045
104,861.348,847.93,832.751,844.581,846.6525,11.7633972
104.5,861.286,848.762,832.833,844.744,846.90625,11.73247216
105,861.831,848.767,832.842,844.677,847.02925,11.95718363
105.5,861.919,848.734,832.667,844.539,846.96475,12.07020791
106,861.913,848.471,832.361,844.471,846.804,12.18063912
106.5,861.825,848.276,832.132,844.317,846.6375,12.23572759
107,861.916,848.248,831.999,844.085,846.562,12.33969759
107.5,862.269,848.039,831.948,843.973,846.55725,12.50550818
108,862.452,848.199,831.733,843.82,846.551,12.68318033
108.5,862.592,848.315,832.451,843.494,846.713,12.49634146
109,862.452,848.134,834.496,843.368,847.1125,11.68390738
109.5,862.37,848.021,834.925,843.034,847.0875,11.5294333
110,862.206,848.099,834.924,842.913,847.0355,11.47400745
110.5,862.12,848.029,834.669,842.699,846.87925,11.54941673
111,862.167,847.747,834.546,843.1,846.89,11.55940618
111.5,862.239,847.738,834.261,843.636,846.9685,11.63853389
112,862.046,847.564,834.872,844.037,847.12975,11.29159901
112.5,862.257,847.36,834.771,843.996,847.096,11.42280237
113,862.094,847.188,835.734,843.972,847.247,11.01077781
113.5,862.025,846.964,836.038,843.86,847.22175,10.88699948
114,862.085,846.715,835.974,843.641,847.10375,10.96131
114.5,861.954,846.728,835.902,843.307,846.97275,10.96200989
115,862.001,846.889,836.02,843.102,847.003,10.96657178
115.5,861.876,846.905,835.764,842.914,846.86475,11.0177784
116,861.635,847.357,836.053,842.798,846.96075,10.82894462
116.5,861.486,848.205,835.776,842.661,847.032,10.89491046
117,861.3,848.634,835.581,842.766,847.07025,10.88516625
117.5,861.163,849.25,835.647,842.649,847.17725,10.85279087
118,861.172,849.793,835.547,842.404,847.229,10.96556875
118.5,861.298,849.729,835.432,842.271,847.1825,11.07443129
119,861.626,849.563,835.372,842.487,847.262,11.19213745
119.5,861.427,849.365,835.169,842.563,847.131,11.15530427
120,861.225,849.572,835.077,842.568,847.1105,11.11631715
120.5,861.14,850.247,834.864,842.683,847.2335,11.19796864
121,861.027,850.252,834.696,842.512,847.12175,11.23689608
121.5,860.996,849.975,834.464,842.294,846.93225,11.31397385
122,861.594,850.251,834.351,842.502,847.1745,11.59973047
122.5,861.807,850.537,834.242,842.63,847.304,11.73671473
123,861.765,851.536,834.235,842.678,847.5535,11.81778294
123.5,861.527,851.182,834.285,842.486,847.37,11.6907752
124,861.439,851.146,834.494,842.313,847.348,11.59824162
124.5,861.285,851.329,834.457,842.212,847.32075,11.58507282
125,861.306,851.724,834.966,842.136,847.533,11.46468648
125.5,861.087,852.053,834.84,842.407,847.59675,11.42385202
126,861.04,851.604,834.726,842.203,847.39325,11.42164785
126.5,860.948,851.479,835.008,841.946,847.34525,11.30608
127,861.011,851.35,835.017,841.778,847.289,11.33957833
127.5,860.977,851.175,835.234,842.113,847.37475,11.17358386
128,860.968,851.03,835.479,842.048,847.38125,11.0758034
128.5,860.88,850.722,835.948,841.967,847.37925,10.85372678
129,860.866,850.718,835.653,842.065,847.3255,10.93578702
129.5,860.71,850.557,835.5,842.136,847.22575,10.8983331
130,860.945,850.266,835.399,842.153,847.19075,11.00092191
130.5,860.75,850.108,836.131,842.121,847.2775,10.65135267
131,860.678,850.18,836.125,842.266,847.31225,10.60638903
131.5,860.647,850.347,836.148,842.394,847.384,10.58039593
132,860.618,849.982,836.05,842.492,847.2855,10.55526363
132.5,860.54,850.253,836.264,842.529,847.3965,10.46480286
133,860.35,850.492,836.231,842.536,847.40225,10.41902108
133.5,860.756,850.507,836.165,842.686,847.5285,10.58957281
134,860.632,850.241,836.116,842.73,847.42975,10.52443381
134.5,860.391,850.115,835.91,842.665,847.27025,10.4961944
135,860.319,849.938,835.78,842.571,847.152,10.51094081
135.5,860.289,849.794,835.541,842.454,847.0195,10.58894444
136,860.346,849.805,835.494,842.625,847.0675,10.60651022
136.5,860.83,849.555,835.287,842.476,847.037,10.88504163
137,861.271,849.426,835.263,842.516,847.119,11.06576851
137.5,861.071,849.295,835.202,842.461,847.00725,11.00083604
138,862.535,849.116,835.071,842.243,847.24125,11.69773432
138.5,862.488,848.985,835.125,842.062,847.165,11.67774148
139,862.274,848.86,835,842.54,847.1685,11.55469179
139.5,862.145,849.063,835.429,842.795,847.358,11.32378623
140,862.023,849.022,835.675,842.71,847.3575,11.1941579
140.5,861.918,848.849,835.963,842.653,847.34575,11.04836535
141,861.787,848.604,835.887,842.372,847.1625,11.04596024
141.5,861.696,848.57,835.95,842.475,847.17275,10.96807596
142,861.477,848.825,835.895,842.346,847.13575,10.92125119
142.5,861.202,848.857,835.78,842.229,847.017,10.85963379
143,861.205,849.251,835.887,842.043,847.0965,10.87631057
143.5,861.063,849.293,835.774,841.915,847.01125,10.87666635
144,861.029,849.468,835.744,841.726,846.99175,10.91506917
144.5,861.075,849.219,836.091,841.695,847.02,10.80396983
145,861.025,849.2,836.431,841.568,847.056,10.68859932
145.5,860.763,849.13,836.762,841.497,847.038,10.47299616
146,860.718,849.346,836.762,841.352,847.0445,10.49437734
146.5,860.556,849.608,836.659,841.234,847.01425,10.49998452
147,860.473,849.588,836.934,841.158,847.03825,10.38696203
147.5,860.367,849.72,836.619,841.25,846.989,10.43874619
148,860.324,849.843,836.553,841.15,846.9675,10.47170328
148.5,860.108,849.664,836.502,841.893,847.04175,10.25018765
149,859.984,849.635,836.307,842.106,847.008,10.22771904
149.5,859.907,849.395,836.171,841.976,846.86225,10.24302349
150,859.727,849.38,836.006,841.828,846.73525,10.24659584
150.5,859.549,849.131,836.002,841.823,846.62625,10.15245682
151,859.597,849.181,835.776,841.951,846.62625,10.23642175
151.5,859.383,849.189,835.694,842.011,846.56925,10.16700521
152,859.308,848.812,835.674,842.004,846.4495,10.11263729
152.5,860.319,848.881,835.805,842.086,846.77275,10.49131026
153,860.916,849.01,836.481,841.947,847.0885,10.54902834
153.5,861.516,849.269,836.78,841.933,847.3745,10.73040082
154,861.464,849.483,836.77,841.887,847.401,10.73196239
154.5,861.502,850.587,836.539,841.873,847.62525,10.91374474
155,861.399,850.805,836.359,841.752,847.57875,10.97332834
155.5,861.478,850.94,836.743,841.547,847.677,10.9277022
156,861.438,851.146,836.477,841.55,847.65275,11.02084175
156.5,861.359,851.351,836.402,841.399,847.62775,11.06382403
157,861.351,851.572,836.704,841.346,847.74325,10.99424144
157.5,861.288,851.67,836.653,841.598,847.80225,10.94872042
158,861.449,851.807,836.465,841.685,847.8515,11.07874979
158.5,861.363,851.89,836.343,841.651,847.81175,11.10188523
159,861.326,851.803,836.191,841.663,847.74575,11.12649335
159.5,861.309,851.717,836.182,841.497,847.67625,11.1427173
160,861.268,851.615,836.051,841.335,847.56725,11.18868155
160.5,861.206,851.561,835.977,841.342,847.5215,11.18100772
161,861.179,851.988,835.912,841.193,847.568,11.27384409
161.5,861.717,852.528,835.676,841.14,847.76525,11.65302563
162,861.742,852.366,835.559,841.192,847.71475,11.6719949
162.5,861.512,852.378,835.423,841.106,847.60475,11.64508913
163,861.403,852.466,835.686,840.921,847.619,11.55785098
163.5,861.464,852.382,835.791,840.9,847.63425,11.53857023
164,861.314,852.273,835.877,840.772,847.559,11.45941118
164.5,861.22,852.217,835.762,840.812,847.50275,11.44550052
165,861.44,852.076,835.768,840.752,847.509,11.5244433
165.5,861.297,851.896,835.607,841.126,847.4815,11.42733537
166,861.212,851.746,835.334,841.372,847.416,11.4248731
166.5,861.199,851.482,835.414,841.498,847.39825,11.33685601
167,860.987,851.416,835.497,841.49,847.3475,11.21506887
167.5,860.923,851.334,835.257,841.462,847.244,11.268878
168,860.818,851.024,835.336,841.328,847.1265,11.18460506
168.5,860.944,850.921,835.143,841.084,847.023,11.33423672
169,860.83,850.845,835.525,840.985,847.04625,11.16393328
169.5,860.561,850.625,835.896,841.096,847.0445,10.88101492
170,860.42,850.644,836.036,841.317,847.10425,10.73681282
170.5,860.415,850.773,835.982,841.569,847.18475,10.72307961
171,861.079,850.636,836.117,841.515,847.33675,10.94699424
171.5,862.304,850.44,836.142,841.563,847.61225,11.43100679
172,863.238,850.385,836.087,841.354,847.766,11.88493065
172.5,863.582,850.312,835.933,841.439,847.8165,12.06466727
173,863.541,850.277,835.979,841.318,847.77875,12.0507976
