Time,R1,R2,R3,R4,Average,SD
148,470.93,472.991,470.534,472.773,471.807,1.254946214
148.5,470.908,472.991,470.521,472.714,471.7835,1.249572327
149,470.843,472.98,470.514,472.689,471.7565,1.257616396
149.5,470.908,473.009,470.437,472.67,471.756,1.273351222
150,470.848,472.994,470.447,472.638,471.73175,1.270978724
150.5,470.838,473.053,470.373,472.661,471.73125,1.323404291
151,470.894,473.052,470.385,472.617,471.737,1.29642817
151.5,470.868,473.09,470.324,472.617,471.72475,1.33618097
152,470.922,473.085,470.315,472.532,471.7135,1.308081165
152.5,470.947,473.035,470.281,472.58,471.71075,1.308527512
153,470.935,473.078,470.228,472.496,471.68425,1.327091651
153.5,470.927,473.015,470.192,472.49,471.656,1.318733483
154,470.973,473.114,470.199,472.449,471.68375,1.334275178
154.5,470.961,473.096,470.179,472.456,471.673,1.338780291
155,470.956,473.139,470.098,472.527,471.68,1.399165227
155.5,471.026,473.237,470.055,472.472,471.6975,1.428125695
156,471.085,473.167,470.122,472.549,471.73075,1.382921636
156.5,471.403,473.121,470.083,472.48,471.77175,1.330406799
157,471.374,473.132,470.053,472.419,471.7445,1.338973363
157.5,471.409,473.168,470.067,472.39,471.7585,1.337759944
158,471.396,473.107,470.003,472.371,471.71925,1.341719388
158.5,471.375,473.102,470.007,472.321,471.70125,1.332055148
159,471.342,473.073,470.018,472.297,471.6825,1.316257447
159.5,471.363,472.996,469.995,472.359,471.67825,1.30800086
160,471.284,472.953,469.945,472.345,471.63175,1.31915159
160.5,471.265,473.023,469.911,472.387,471.6465,1.366332683
161,471.299,472.947,469.953,472.441,471.66,1.330476105
161.5,471.17,472.954,469.942,472.565,471.65775,1.376597829
162,471.186,472.993,469.814,472.521,471.6285,1.431390117
162.5,471.201,472.98,469.82,472.534,471.63375,1.425926687
163,471.187,473.023,469.797,472.433,471.61,1.430593816
163.5,471.215,472.945,469.782,472.353,471.57375,1.393631557
164,471.188,473.019,469.716,472.302,471.55625,1.439665326
164.5,471.223,473.082,469.71,472.34,471.58875,1.467156746
165,471.169,473.061,469.618,472.409,471.56425,1.516352504
165.5,471.131,473.309,469.66,472.282,471.5955,1.567299695
166,471.094,473.319,469.691,472.294,471.5995,1.563853467
166.5,471.077,473.277,469.67,472.314,471.5845,1.562006509
167,471.066,473.255,469.624,472.302,471.56175,1.572228646
167.5,471.052,473.165,469.646,472.32,471.54575,1.53560767
168,471.081,473.15,469.621,472.225,471.51925,1.522371478
168.5,471.09,473.115,469.577,472.266,471.512,1.534104951
169,471.229,473.106,469.568,472.227,471.5325,1.51763028
169.5,471.178,473.197,469.509,472.26,471.536,1.583244559
170,471.428,473.208,469.489,472.28,471.60125,1.584714775
170.5,471.4,473.244,469.462,472.318,471.606,1.615462782
171,471.412,473.247,469.398,472.328,471.59625,1.645872084
171.5,471.362,473.305,469.436,472.318,471.60525,1.649442204
172,471.498,473.293,469.516,472.274,471.64525,1.598519602
172.5,471.474,473.265,469.444,472.296,471.61975,1.624735132
173,471.468,473.303,469.499,472.219,471.62225,1.603435348
173.5,471.567,473.322,469.381,472.308,471.6445,1.671693453
174,471.607,473.33,469.389,472.271,471.64925,1.665533823
174.5,471.612,473.319,469.297,472.269,471.62425,1.703342082
175,471.603,473.372,469.297,472.312,471.646,1.726487957
175.5,471.528,473.356,469.297,472.279,471.615,1.717815473
176,471.501,473.291,469.321,472.282,471.59875,1.686044755
176.5,471.52,473.296,469.333,472.228,471.59425,1.674948432
177,471.433,473.216,469.258,472.23,471.53425,1.683638594
177.5,471.525,473.222,469.193,472.206,471.5365,1.710873559
178,471.526,473.246,469.152,472.124,471.512,1.727338608
178.5,471.659,473.203,469.125,472.165,471.538,1.732297511
179,472.146,473.248,469.119,472.204,471.67925,1.780362767
179.5,472.087,473.265,469.073,472.155,471.645,1.797688145
180,472.113,473.29,469.089,472.138,471.6575,1.798203641
180.5,472.047,473.429,469.042,472.161,471.66975,1.860436754
181,471.967,473.546,469.04,472.117,471.6675,1.890702603
181.5,471.96,473.75,469.072,472.082,471.716,1.942625715
182,472.017,474.071,469.012,472.078,471.7945,2.086035874
182.5,472.02,474.199,469.026,472.013,471.8145,2.124712137
183,472.033,474.317,469.024,472.023,471.84925,2.170697334
183.5,471.972,474.43,469.004,471.985,471.84775,2.220300637
